timestamp,ecg_measurement,qrs_detected
9.830873200000000000e+07,2.116324424700000151e+00,0.000000000000000000e+00
9.831266000000000000e+07,2.067448616000000072e+00,0.000000000000000000e+00
9.831657200000000000e+07,2.008797645500000062e+00,0.000000000000000000e+00
9.832048000000000000e+07,1.989247321999999984e+00,0.000000000000000000e+00
9.832439200000000000e+07,1.989247321999999984e+00,0.000000000000000000e+00
9.832830800000000000e+07,2.008797645500000062e+00,0.000000000000000000e+00
9.833221600000000000e+07,1.989247321999999984e+00,0.000000000000000000e+00
9.833613200000000000e+07,1.950146675100000060e+00,0.000000000000000000e+00
9.834004800000000000e+07,1.935483837100000049e+00,0.000000000000000000e+00
9.834397200000000000e+07,1.969696998499999907e+00,0.000000000000000000e+00
9.834788800000000000e+07,1.984359741200000027e+00,0.000000000000000000e+00
9.835181200000000000e+07,1.969696998499999907e+00,0.000000000000000000e+00
9.835573600000000000e+07,1.915933513599999971e+00,0.000000000000000000e+00
9.835966400000000000e+07,1.886608028399999970e+00,0.000000000000000000e+00
9.836357600000000000e+07,1.901270771000000082e+00,0.000000000000000000e+00
9.836748400000000000e+07,1.930596256200000083e+00,0.000000000000000000e+00
9.837140800000000000e+07,1.920821094499999937e+00,0.000000000000000000e+00
9.837532400000000000e+07,1.881720447500000004e+00,0.000000000000000000e+00
9.837924000000000000e+07,1.871945285700000072e+00,0.000000000000000000e+00
9.838315600000000000e+07,1.881720447500000004e+00,0.000000000000000000e+00
9.838707200000000000e+07,1.930596256200000083e+00,0.000000000000000000e+00
9.839098400000000000e+07,1.940371513299999906e+00,0.000000000000000000e+00
9.839490400000000000e+07,1.915933513599999971e+00,0.000000000000000000e+00
9.839883200000000000e+07,1.901270771000000082e+00,0.000000000000000000e+00
9.840274400000000000e+07,1.935483837100000049e+00,0.000000000000000000e+00
9.840667200000000000e+07,1.979472160300000061e+00,0.000000000000000000e+00
9.841058400000000000e+07,1.994134902899999950e+00,0.000000000000000000e+00
9.841449200000000000e+07,1.969696998499999907e+00,0.000000000000000000e+00
